Name,URL,Description,Categories,Pricing,Rating,External_URL,Image_URL,Editors_Pick,Bookmark_Count,Source_Category
MYPEAS.ai,https://www.futurepedia.io/tool/mypeas-ai,AI roadmaps tailored to any job description.,"human resources, personal assistant",Freemium,5,https://mypeas.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/5cVoT9HZQgUXCOJFf2Hn9x.png?w=256,No,12,Productivity
Monica,https://www.futurepedia.io/tool/monica,"AI assistant revolutionizing chat, writing, coding, and more.","ai chatbots, code assistant, writing generators",Freemium,3.857142857142857,https://monica.im/invitation-affiliate?ref=yzawntq&ref_aff=yzawntq,https://cdn2.futurepedia.io/c3dd8302a0646cd7300874d50b1bd7faf1ddf50d-128x128.svg?w=256,Yes,1186,Productivity
You,https://www.futurepedia.io/tool/you,"Transforms searches into personalized, private experiences with AI-driven results.","search engine, personal assistant, research",Freemium,0,https://you.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/800aba9cfc169dc2c74691f78871c85bcc0bd941-128x128.png?w=256,Yes,453,Productivity
Jigso,https://www.futurepedia.io/tool/jigso,"Optimize tasks, automate alerts, and retrieve data seamlessly.","personal assistant, project management, workflows",Freemium,4.6, https://www.jigso.io/lp-sidekick?utm_source=futurepedia,https://cdn2.futurepedia.io/0dfc54659ad3ef025cecfb7e98cbbe6fbfe5956d-128x128.png?w=256,Yes,355,Productivity
PackPack,https://www.futurepedia.io/tool/packpack,"AI-enhanced bookmark manager for seamless, organized content access.","summarizer, research, personal assistant",Freemium,0,https://packpack.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/RakDrrEF5OuiUbFziNBsF4.png?w=256,No,16,Productivity
Consensus,https://www.futurepedia.io/tool/consensus,"Unlock expert knowledge: AI-powered, ad-free research from 200M+ scientific papers.","research, search engine, education",Freemium,4.5,https://consensus.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/94c4d94e165a5ab075cbfee8111e929fdaa5a2e8-128x128.png?w=256,Yes,687,Productivity
Julius AI,https://www.futurepedia.io/tool/julius,Unleash AI-driven data analysis with real-time insights and automated processing.,"marketing, research, spreadsheets",Paid,0,https://julius.ai/?via=futurepedia,https://cdn2.futurepedia.io/8045e7d059ad97c8b8a989b649acf75f816b5148-48x48.svg?w=256,Yes,32,Productivity
Scite,https://www.futurepedia.io/tool/scite,Transform research with AI-driven Smart Citations and deep insights.,"research, education",Free Trial,0,https://www.scite.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/ab85858c0ab66b901f0f3d2cf4e3dc2e1c9fa2fa-128x128.png?w=256,Yes,59,Productivity
Lido,https://www.futurepedia.io/tool/lido,Streamlines PDF-to-Excel conversion for finance teams.,"finance, spreadsheets, legal",Paid,5,https://www.lido.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/2025-02-24T17-34-58.020Z-v0fgNQthoQmCJBx-XfmH3QlZtP3tku39O.blob?w=256,No,16,Productivity
Gigasheet,https://www.futurepedia.io/tool/gigasheet,"Transform big data with spreadsheet ease; no-code, AI-enhanced analysis.","spreadsheets, workflows, low-code/no-code",Freemium,0,https://www.gigasheet.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/b0a9a74c2f226329df5d7ca6bd60240d6aa3819a-128x128.png?w=256,Yes,28,Productivity
Rows AI,https://www.futurepedia.io/tool/rows-ai,"Transform spreadsheets into AI-powered data analysis tools, simplifying complex insights.","spreadsheets, summarizer, ai chatbots",Freemium,0,https://rows.com/ai?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/19a6b81e4c4f3db47f98c563db3e51e3b76cc5fc-1024x1024.svg?w=256,Yes,43,Productivity
Zoho Sheet,https://www.futurepedia.io/tool/zoho-sheet,"Create, analyze, and collaborate on spreadsheets seamlessly online.","spreadsheets, project management, workflows",Contact for Pricing,0,https://www.zoho.com/sheet/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/64107c683e51232af43f745af53ea3afd22d9046-48x48.png?w=256,Yes,8,Productivity
DeepL Translator,https://www.futurepedia.io/tool/deepl-translator,Transform text across 32 languages with unmatched accuracy.,"translator, legal, research",Free Trial,0,https://www.deepl.com/translator?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/5d7d33a51bf57ce7b1d7d6e45748a3675bf48fd2-128x128.png?w=256,Yes,19,Productivity
Google Translate,https://www.futurepedia.io/tool/google-translate,"Instant translations across 100+ languages, voice, text, and image.","translator, education, travel",Free,0,https://translate.google.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/b97759b8cd7f5f81e62c82aaedc5038301458916-64x64.png?w=256,Yes,15,Productivity
Microsoft Translator,https://www.futurepedia.io/tool/microsoft-translator,"Break language barriers: translate text, speech, real-time conversations.","translator, travel, education",Free,0,https://www.microsoft.com/en-us/translator/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/2d0de5e060dc26959ef24db3ff4e26d04dd3acc6-512x512.png?w=256,Yes,15,Productivity
Synthesia,https://www.futurepedia.io/tool/synthesia,"AI-powered platform for quick, multilingual video creation.","video generators, text to video, translator",Paid,0,https://www.synthesia.io/?via=fp,https://cdn2.futurepedia.io/2025-01-27T22-05-17.898Z-2Ro-5teN86EeImDRJKqWVVEgCQ_OrGba9.png?w=256,Yes,1498,Productivity
Plus AI,https://www.futurepedia.io/tool/plusdocs,"Transform Google Slides with intuitive, multilingual AI tools.","presentations, marketing, education",Freemium,0,https://www.plusdocs.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/ebb5bd974376d86146c8b876202d44047217d8d1-128x128.png?w=256,Yes,31,Productivity
Tome,https://www.futurepedia.io/tool/tome,Automates personalized presentation creation and enhances engagement analytics.,"sales assistant, marketing, presentations",Freemium,4,https://tome.app/lp/ai-presentations/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/2025-03-25T20-46-24.320Z-4dx78OFslo_HRU8Mn1gE2mrt0edRcfP-C.png?w=256,Yes,4266,Productivity
Simplified,https://www.futurepedia.io/tool/simplified,"Streamline marketing, design, and social media with AI-powered tools.","marketing, presentations, video generators",Paid,5,https://simplified.com?fpr=futurepedia,https://cdn2.futurepedia.io/82302a3a5d15729c39108aaed1be3179b0e86fec-128x128.png?w=256,Yes,101,Productivity
PowerMode AI,https://www.futurepedia.io/tool/powermode-ai,Optimize business operations with AI-driven insights and automation.,"presentations, startup tools, marketing",Free,3,https://powermodeai.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/46c53376d1bcbe7021aed1696adcd58066d10055-48x48.svg?w=256,No,1451,Productivity
Fellow,https://www.futurepedia.io/tool/fellow,"Automates meeting notes, insights, and follow-ups seamlessly.","personal assistant, email assistant, transcriber",Freemium,0,https://fellow.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/2025-03-05T19-01-43.384Z-cHhI1inZMxdbImbK7qdi36Z-TA6ky4p6d.blob?w=256,No,15,Productivity
Superhuman,https://www.futurepedia.io/tool/superhuman,"Revolutionize email with AI, speed, and intuitive productivity enhancements.","email assistant, sales assistant",Paid,0,https://superhuman.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/5de0918f3b1a2d63ee07a24609519427d61ef74d-32x32.svg?w=256,Yes,292,Productivity
Shortwave,https://www.futurepedia.io/tool/shortwave,AI-powered email tool enhances productivity and organization.,email assistant,Freemium,0,https://www.shortwave.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/466ba819d5df39556546761e8766ba3d5d7b1e51-192x192.svg?w=256,Yes,28,Productivity
Merlin,https://www.futurepedia.io/tool/merlin,"Enhance web productivity with AI: write, summarize, code, translate effortlessly.","ai chatbots, email assistant, summarizer",Free,4,https://merlin.foyer.work/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/19e8972b77a8ca40da2a23f24c69a555303175f1-48x48.svg?w=256,Yes,1215,Productivity
TextLayer,https://www.futurepedia.io/tool/textlayer,Streamlines research discovery and application for developers.,"research, code assistant, search engine",Freemium,0,https://textlayer.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/2025-01-24T17-39-02.501Z-KvSwpyA62Pb902xzV3LJmZIdoNhf4WZ6d.png?w=256,No,111,Productivity
Komo Search,https://www.futurepedia.io/tool/komo-search,"Revolutionize search with AI: intuitive, efficient, customizable, secure.","search engine, research, education",Freemium,5,https://komo.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/a4d7dd3ad7046024651c20f47f41f52e60b4c501-600x600.svg?w=256,Yes,105,Productivity
Microsoft Bing,https://www.futurepedia.io/tool/microsoft-bing,"AI-enhanced precision searches with personalized, multimedia-rich results.","search engine, personal assistant, research",Free,0,https://www.bing.com/new?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/6bdb82decf191c67b15f89daf3bb174f4d30c483-600x600.webp?w=256,Yes,963,Productivity
You,https://www.futurepedia.io/tool/you,"Transforms searches into personalized, private experiences with AI-driven results.","search engine, personal assistant, research",Freemium,0,https://you.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,https://cdn2.futurepedia.io/800aba9cfc169dc2c74691f78871c85bcc0bd941-128x128.png?w=256,Yes,453,Productivity
